"PC1.contig"	"PC1.pos"
"1028"	"chr2"	479742
"1029"	"chr2"	479819
"1034"	"chr2"	483665
"1043"	"chr2"	491273
"1063"	"chr2"	505949
"1089"	"chr2"	529354
"1090"	"chr2"	529408
"1097"	"chr2"	539768
"1138"	"chr3"	7550
"1139"	"chr3"	8125
"1151"	"chr3"	17885
"1164"	"chr3"	35140
"1166"	"chr3"	37781
"1175"	"chr3"	44940
"1179"	"chr3"	47416
"1189"	"chr3"	54810
"1196"	"chr3"	57031
"1198"	"chr3"	58040
"1207"	"chr3"	71754
"1237"	"chr3"	101443
"1240"	"chr3"	103204
"1241"	"chr3"	103675
"1248"	"chr3"	108693
"1257"	"chr3"	121557
"1259"	"chr3"	123905
"1264"	"chr3"	128927
"1266"	"chr3"	129881
"1268"	"chr3"	133351
"1279"	"chr3"	141763
"1302"	"chr3"	170190
"1304"	"chr3"	172208
"1305"	"chr3"	173152
"1315"	"chr3"	181933
"1323"	"chr3"	185914
"1337"	"chr3"	203597
"1344"	"chr3"	208272
"1346"	"chr3"	208447
"1355"	"chr3"	213363
"1363"	"chr3"	224181
"1364"	"chr3"	225112
"1376"	"chr3"	231751
"1378"	"chr3"	236384
"1394"	"chr3"	254439
"1395"	"chr3"	254676
"1400"	"chr3"	263058
"1401"	"chr3"	265492
"1403"	"chr3"	271785
"1411"	"chr3"	278862
"1421"	"chr3"	287937
"1435"	"chr3"	295967
"1444"	"chr3"	304892
"1460"	"chr3"	318498
"1473"	"chr3"	326453
"1475"	"chr3"	328295
"1480"	"chr3"	335351
"1481"	"chr3"	338677
"1484"	"chr3"	341780
"1486"	"chr3"	346669
"1488"	"chr3"	350116
"1499"	"chr3"	367987
"1500"	"chr3"	372643
"1506"	"chr3"	381184
"1520"	"chr3"	402844
"1522"	"chr3"	404867
"1528"	"chr3"	415133
"1568"	"chr3"	477746
"1575"	"chr3"	487964
"1592"	"chr3"	506730
"1597"	"chr3"	509591
"1603"	"chr3"	521068
"1604"	"chr3"	521089
"1609"	"chr3"	527805
"1612"	"chr3"	530924
"1618"	"chr3"	541086
"1629"	"chr4"	2646
"1636"	"chr4"	18620
"1648"	"chr4"	36929
"1671"	"chr4"	83143
"1685"	"chr4"	112589
"1687"	"chr4"	112604
"1699"	"chr4"	132253
"1709"	"chr4"	147909
"1715"	"chr4"	152957
"1716"	"chr4"	153307
"1718"	"chr4"	159316
"1727"	"chr4"	179105
"1739"	"chr4"	207162
"1747"	"chr4"	223577
"1767"	"chr4"	282359
"1769"	"chr4"	294165
"1775"	"chr4"	325447
"1778"	"chr4"	327991
"1788"	"chr4"	380761
"1791"	"chr4"	390540
"1809"	"chr4"	413889
"1811"	"chr4"	415542
"1815"	"chr4"	422468
"1816"	"chr4"	436906
"1878"	"chr5"	43119
"1886"	"chr5"	76939
"1887"	"chr5"	76942
"1893"	"chr5"	95108
"1902"	"chr5"	134525
"1909"	"chr5"	146096
"1916"	"chr5"	169662
"1932"	"chr5"	264282
"1934"	"chr5"	270007
"1953"	"chr5"	375883
"1960"	"chr5"	395035
"1961"	"chr5"	408449
"1962"	"chr5"	413828
"1977"	"chr5"	493254
"1979"	"chr5"	497912
"1982"	"chr5"	534342
"1986"	"chr6"	28965
"1993"	"chr6"	76785
"1997"	"chr6"	128850
"1998"	"chr6"	128861
"2024"	"chr6"	363224
"2028"	"chr6"	416438
"2029"	"chr6"	426575
"2036"	"chr6"	525251
"2037"	"chr7"	4987
"2042"	"chr7"	60703
"2052"	"chr7"	137923
